case_number,court,date,outcome,evidence_type,summary,source
11 Gžr-80/11-2,Županijski sud u Zagrebu,2011-06-14,not_applicable,N/A,Labor law dispute regarding employment termination; not a criminal procedure case,json_report
2 Kov-2/20-8,Županijski sud u Zadru,2020-07-02,excluded,testimony,"SUCCESSFUL - Child witness examination record (DVD recording) excluded; defense counsel not present during mandatory representation case (Art. 238(3), 66(1) ZKP)",json_report
5 Kž-720/2017-3,Županijski sud u Zagrebu,2017-09-05,partial_excluded,surveillance,PARTIAL - Telecom metadata (call logs/IMEI) EXCLUDED without judge's order per Art. 339 ZKP; phone owner ID retained,json_report
6-Kž-746/11-3,Županijski sud u Zagrebu,2012-06-06,not_excluded,physical,Search warrant valid - explosives and ammunition evidence retained,json_report
7 Kž-884/2021-3,Županijski sud u Zagrebu,2021-10-12,not_excluded,physical,"Appellate court reversed exclusion; lawful inspection under Art. 75(1)(2) Police Act, not unlawful search",json_report
8 Kž-314/16-4,Županijski sud u Varaždinu,2016-09-14,excluded,physical,"SUCCESSFUL - 9 kg tobacco excluded; search without written warrant and required witnesses (Art. 240, 254 ZKP)",json_report
Gž-1738/2023-3,Županijski sud u Splitu,2023-09-21,not_applicable,N/A,"Civil case - donation contract dispute, not criminal evidence exclusion",json_report
Gž-2275/15,Visoki prekršajni sud Republike Hrvatske,2017-04-05,not_excluded,documentary,Customs inspection report admitted under Misdemeanor Act Article 158(5),json_report
I Kž 125/2011-4,Vrhovni sud Republike Hrvatske,2013-06-05,not_excluded,search_record,"Cannabis cultivation search valid; warrant from County Court Požega, witnesses present, no objections raised",json_report
I Kž 13/2021-4,Vrhovni sud Republike Hrvatske,2021-03-17,not_excluded,physical,Apartment search evidence retained - search conducted lawfully per court authorization,json_report
I Kž 148/12-4,Vrhovni sud Republike Hrvatske,2013-05-21,not_excluded,physical,"Garage search evidence retained - voluntary surrender, not illegal search",json_report
I Kž 15/2020-4,Vrhovni sud Republike Hrvatske,2020-02-12,excluded,testimony,SUCCESSFUL - Privileged witness testimony excluded; court failed to record statutory warning per Article 285(3) ZKP,json_report
